#IAU names		IVS names		SNR		SNR		KT-KU		KT-KY		KU-KY		KT-KU		KT-KY		KU-KY		Obscode		New detection	
#[J1950]		-		KT		KU		[kλ]		[kλ]		[kλ]		[Jy]		[Jy]		[Jy]		-		Y/N	
0055+300	 	NGC0315	 	112.5	 	-1	 	-1	 	35658.167	 	-1	 	-1	 	0.155	 	-1	 	s14jl01a	 	Y	  
0055+300	 	NGC0315	 	130.1	 	132.3	 	24990.25	 	36362.909	 	18627.82	 	0.44	 	0.328	 	0.327	 	s14jl01d	 	Y	  
0055+300	 	NGC0315	 	131.1	 	132.5	 	25425.493	 	36461.384	 	21227.922	 	0.457	 	0.364	 	0.367	 	s14jl01d	 	Y	  
0055+300	 	NGC0315	 	124	 	118.8	 	17252.718	 	34207.583	 	21653.794	 	0.298	 	-1	 	0.292	 	s14jl01c	 	Y	  
0055+300	 	NGC0315	 	119.2	 	-1	 	-1	 	36336.043	 	-1	 	-1	 	0.478	 	-1	 	s14jl01a	 	Y	  
0056-001	 	0056-001	 	75.6	 	81.6	 	-1	 	33748.867	 	15044.195	 	-1	 	0.136	 	0.128	 	s14jl01c	 	Y	  
0056-001	 	0056-001	 	85.2	 	85.1	 	24260.202	 	35990.451	 	13991.788	 	0.205	 	-1	 	0.177	 	s14jl01d	 	Y	  
0056-001	 	0056-001	 	77.6	 	74.4	 	25487.2	 	35430.093	 	13855.675	 	0.108	 	0.16	 	0.131	 	s14jl01c	 	Y	  
0056-001	 	0056-001	 	93.2	 	83.2	 	-1	 	33036.81	 	-1	 	-1	 	0.222	 	-1	 	s14jl01a	 	Y	  
0056-001	 	0056-001	 	98.8	 	98.7	 	26626.856	 	34501.107	 	14342.529	 	0.312	 	0.233	 	-1	 	s14jl01d	 	Y	  
0056-001	 	0056-001	 	82.9	 	-1	 	-1	 	31132.607	 	-1	 	-1	 	0.239	 	-1	 	s14jl01a	 	Y	  
0104-035	 	0104-035	 	97.4	 	106.3	 	25658.697	 	35106.813	 	12714.273	 	0.237	 	0.228	 	0.313	 	s14jl01d	 	Y	  
